,leaid,rla_score,math_score
7529,2803360,67,65.0
7531,2803450,65,35.0
7532,2803480,46,42.0
7535,2803530,61,71.0
7540,2803660,45-49,44.0
7546,2803830,52,43.0
7551,2803990,30-34,13.0
7560,2804320,42,26.0
7564,2804470,18,17.0
7621,2901000,57,31.0
7643,2904620,63,34.0
7652,2905310,65,57.0
7662,2905760,61,46.0
7681,2906990,67,27.0
7689,2907460,49,36.0
7695,2908370,64,62.0
7761,2912010,38,12.0
7765,2912290,54,32.0
7766,2912300,69,44.0
7782,2913080,71,35.0
7802,2913830,45,30.0
7826,2915480,52,39.0
7828,2915600,60,70.0
7832,2916190,53,55.0
7836,2916350,48,39.0
7838,2916400,33,17.0
7839,2916450,63,40.0
7848,2916770,81,73.0
7861,2918270,39,25.0
7862,2918300,69,56.0
7870,2918540,69,43.0
7901,2920670,60,48.0
7938,2922530,75,74.0
7945,2922800,50,43.0
7948,2922890,60,38.0
7966,2923430,68,55.0
7970,2923550,70,73.0
7971,2923580,69,56.0
7974,2923700,58,42.0
7975,2923730,61,30.0
7985,2925230,50-54,60.0
7990,2925450,54,23.0
7999,2926070,47,19.0
8002,2926220,59,54.0
8012,2926640,48,21.0
8016,2926850,75,67.0
8017,2926890,65-69,40.0
8020,2927060,47,39.0
8030,2927830,59,42.0
8056,2928860,57,27.0
8057,2928920,65,39.0
8058,2928950,75,65.0
8063,2929280,34,20.0
8088,2930450,66,45.0
8106,2931110,65,30.0
8109,2931440,53,38.0
8111,2931500,67,51.0
8115,2931650,69,56.0
8124,2932010,63,46.0
8186,3003900,40,34.0
8195,3004590,68,52.0
8316,3013050,45,32.0
8334,3013830,55,39.0
8353,3015420,54,32.0
8395,3018540,53,39.0
8536,3100016,31,35.0
8540,3100022,30,37.0
8625,3103810,45,52.0
8653,3170110,85,85.0
8659,3170710,42,51.0
8677,3172390,49,58.0
8684,3172840,51,51.0
8701,3173740,70,65.0
8711,3174430,44,52.0
8715,3174820,30,23.0
8722,3175270,60,61.0
8766,3178660,65,61.0
8775,3200001,42,22.0
8780,3200060,43,24.0
8781,3200090,59,44.0
8782,3200120,40,25.0
8788,3200300,42,28.0
8790,3200360,31,21.0
8791,3200390,44,27.0
8794,3200480,46,32.0
8797,3300017,77,55.0
8820,3301740,82,63.0
8833,3302460,62,40.0
8840,3302640,61,35.0
8897,3304050,65,39.0
8907,3304410,71,48.0
8910,3304590,49,26.0
8924,3304980,60,31.0
8948,3305940,55,30.0
8984,3307360,68,41.0
8988,3400009,58,38.0
8994,3400022,30,5.0
8996,3400024,62,49.0
9018,3400070,52,20.0
9019,3400073,23,7.0
9022,3400078,31,7.0
9055,3400753,30,6.0
9079,3400785,31,11.0
9089,3400960,24,11.0
9090,3400990,49,25.0
9092,3401050,41,20.0
9098,3401260,59,23.0
9101,3401350,41,13.0
9105,3401470,82,74.0
9106,3401500,61,29.0
9107,3401530,47,41.0
9111,3401650,79,70.0
9114,3401770,37,22.0
9116,3401830,43,22.0
9120,3401950,52,30.0
9122,3402030,44,29.0
9123,3402100,32,9.0
9126,3402220,49,29.0
9127,3402250,26,8.0
9128,3402280,70,52.0
9132,3402400,31,15.0
9133,3402430,36,13.0
9135,3402460,46,30.0
9136,3402490,38,20.0
9137,3402520,46,27.0
9139,3402580,67,36.0
9141,3402640,13,2.0
9142,3402670,44,21.0
9144,3402730,29,19.0
9147,3402820,49,17.0
9148,3402850,52,20.0
9149,3402880,35,8.0
9150,3402910,27,29.0
9151,3403000,59,33.0
9154,3403120,59,38.0
9155,3403150,34,14.0
9157,3403210,58,45.0
9159,3403270,42,23.0
9160,3403300,42,18.0
9164,3403420,49,25.0
9168,3403570,69,37.0
9170,3403610,86,57.0
9171,3403620,30,12.0
9176,3403750,44,32.0
9177,3403780,34,24.0
9181,3403900,31,17.0
9182,3403930,42,20.0
9184,3403990,60,48.0
9188,3404110,71,45.0
9192,3404230,35,9.0
9194,3404320,53,28.0
9196,3404380,50,35.0
9200,3404500,68,49.0
9202,3404560,49,29.0
9203,3404590,42,12.0
9205,3404660,49,16.0
9208,3404740,52,14.0
9210,3404800,60,26.0
9214,3404920,35,18.0
9216,3404980,70,53.0
9225,3405310,77,36.0
9231,3405490,47,23.0
9235,3405610,46,32.0
9240,3405760,40,18.0
9246,3405970,76,45.0
9247,3406000,53,18.0
9249,3406040,60,49.0
9250,3406060,39,21.0
9257,3406270,51,20.0
9258,3406300,50,35.0
9259,3406330,29,21.0
9260,3406360,47,33.0
9261,3406390,74,60.0
9266,3406540,35,17.0
9267,3406570,65,31.0
9270,3406660,66,44.0
9276,3406870,43,11.0
9278,3406930,50,41.0
9280,3406990,42,20.0
9283,3407140,37,29.0
9286,3407230,63,52.0
9288,3407290,40,7.0
9292,3407410,66,57.0
9296,3407530,60,47.0
9298,3407570,77,40.0
9299,3407590,73,45.0
9300,3407680,23,3.0
9302,3407740,41,25.0
9304,3407800,60,20.0
9305,3407830,44,20.0
9307,3407890,43,12.0
9308,3407920,37,7.0
9310,3407980,55,37.0
9312,3408040,85,60.0
9313,3408060,54,35.0
9315,3408100,41,23.0
9318,3408190,63,37.0
9319,3408220,23,6.0
9324,3408400,61,28.0
9327,3408490,47,31.0
9328,3408500,54,32.0
9329,3408520,71,39.0
9331,3408610,44,5.0
9332,3408640,27,6.0
9338,3408820,78,56.0
9339,3408850,56,31.0
9342,3408940,30,18.0
9345,3409090,33,27.0
9349,3409210,50,18.0
9350,3409240,76,63.0
9351,3409270,38,27.0
9353,3409330,66,56.0
9354,3409360,55,34.0
9356,3409420,70,42.0
9357,3409450,34,21.0
9361,3409550,52,29.0
9364,3409660,41,20.0
9367,3409750,63,39.0
9376,3409990,66,49.0
9377,3410020,29,17.0
9378,3410050,56,37.0
9379,3410080,48,24.0
9380,3410110,43,28.0
9383,3410200,81,73.0
9386,3410320,21,6.0
9389,3410440,42,30.0
9390,3410470,30,20.0
9391,3410500,61,46.0
9393,3410560,58,39.0
9394,3410590,73,68.0
9396,3410650,59,46.0
9398,3410710,61,48.0
9399,3410720,88,73.0
9400,3410740,60,41.0
9402,3410810,41,28.0
9407,3410980,85,46.0
9408,3411010,80,50.0
9413,3411160,27,11.0
9415,3411220,33,10.0
9417,3411280,58,34.0
9418,3411310,74,64.0
9419,3411340,34,15.0
9420,3411400,42,26.0
9421,3411430,48,18.0
9422,3411460,35,7.0
9423,3411490,45,23.0
9427,3411610,63,57.0
9428,3411640,40,12.0
9430,3411700,48,29.0
9431,3411730,65,64.0
9432,3411760,75,61.0
9436,3411880,54,31.0
9439,3411970,57,30.0
9442,3412060,42,34.0
9449,3412260,64,61.0
9450,3412270,28,13.0
9452,3412360,32,20.0
9454,3412420,63,45.0
9456,3412480,62,46.0
9457,3412510,66,51.0
9458,3412540,17,7.0
9459,3412570,41,22.0
9460,3412600,51,9.0
9461,3412630,58,40.0
9463,3412690,17,3.0
9465,3412810,35,8.0
9466,3412840,30,7.0
9467,3412870,29,13.0
9468,3412900,67,51.0
9469,3412930,30,15.0
9470,3412960,53,24.0
9471,3412990,31,4.0
9472,3413000,51,23.0
9473,3413050,45,31.0
9475,3413110,34,23.0
9476,3413140,15,4.0
9477,3413200,13,4.0
9480,3413290,64,39.0
9482,3413350,65,40.0
9484,3413410,76,48.0
9487,3413530,25,9.0
9488,3413560,72,52.0
9489,3413590,75,53.0
9490,3413620,51,41.0
9491,3413650,66,44.0
9492,3413680,39,14.0
9495,3413750,56,39.0
9496,3413770,62,33.0
9497,3413800,51,17.0
9498,3413830,81,67.0
9510,3414280,39,6.0
9511,3414310,46,16.0
9512,3414340,43,34.0
9514,3414400,60,44.0
9516,3414460,66,31.0
9517,3414490,52,25.0
9520,3414580,39,24.0
9522,3414640,46,20.0
9523,3414670,69,53.0
9526,3414850,51,31.0
9528,3414940,55,20.0
9533,3415090,52,29.0
9536,3415210,56,40.0
9539,3415330,58,43.0
9540,3415360,51,37.0
9541,3415390,50,17.0
9543,3415450,38,21.0
9544,3415480,35,31.0
9545,3415510,54,43.0
9546,3415540,58,32.0
9557,3415900,75,70.0
9558,3415930,34,20.0
9562,3416080,57,27.0
9563,3416110,73,65.0
9566,3416230,50,21.0
9568,3416290,18,4.0
9571,3416380,48,17.0
9573,3416470,45,22.0
9574,3416500,44,25.0
9576,3416560,62,48.0
9581,3416710,57,27.0
9582,3416740,73,47.0
9583,3416800,19,9.0
9586,3416870,40,18.0
9587,3416890,49,38.0
9590,3416970,53,28.0
9593,3417070,36,22.0
9594,3417100,70,40.0
9598,3417220,57,27.0
9600,3417280,64,44.0
9604,3417430,42,25.0
9605,3417460,52,43.0
9607,3417500,92,89.0
9608,3417520,40,18.0
9609,3417550,78,57.0
9610,3417580,35,13.0
9611,3417610,48,26.0
9613,3417700,79,66.0
9615,3417760,72,59.0
9617,3417820,67,49.0
9624,3418000,17,4.0
9626,3418040,96,84.0
9627,3418060,30,13.0
9629,3418120,40,26.0
9635,3418300,57,14.0
9636,3418330,46,24.0
9648,3600008,90-94,89.0
9671,3600076,91,85.0
9672,3600077,94,88.0
9673,3600078,94,89.0
9674,3600079,95,92.0
9676,3600081,92,85.0
9678,3600083,88,86.0
9679,3600084,86,77.0
9680,3600085,82,76.0
9681,3600086,85,81.0
9682,3600087,89,86.0
9683,3600088,90,83.0
9684,3600090,79,77.0
9685,3600091,95,92.0
9686,3600092,89,82.0
9687,3600094,86,75.0
9688,3600095,91,86.0
9689,3600096,85,77.0
9690,3600097,82,73.0
9691,3600098,93,91.0
9692,3600099,95,95.0
9693,3600100,95,93.0
9694,3600101,89,83.0
9695,3600102,92,91.0
9696,3600103,95,88.0
9704,3600119,92,87.0
9705,3600120,89,78.0
9706,3600121,83,74.0
9707,3600122,90,88.0
9708,3600123,89,86.0
9710,3600125,97,85.0
9721,3600151,90,91.0
9722,3600152,92,88.0
9723,3600153,94,92.0
9779,3602460,91,80.0
9797,3603270,98,97.0
9804,3603840,97,91.0
9805,3603870,96,93.0
9810,3604080,94,91.0
9822,3604710,GE99,98.0
9826,3604870,87,87.0
9831,3605280,90,91.0
9842,3605850,82,81.0
9858,3606570,96,96.0
9865,3606870,87,88.0
9880,3607530,96,96.0
9882,3607590,GE99,98.0
9893,3608160,97,94.0
9896,3608310,90,93.0
9899,3608400,93,91.0
9908,3608880,92,96.0
9922,3609630,GE99,98.0
9926,3609840,97,97.0
9944,3610560,90,84.0
9951,3610890,97,98.0
9954,3610980,95,89.0
9968,3611550,93,85.0
9971,3611670,96,94.0
9977,3611880,90-94,92.0
9993,3612630,91,91.0
10003,3613080,98,97.0
10006,3613290,97,97.0
10020,3613980,98,97.0
10021,3614010,96,89.0
10023,3614130,68,69.0
10027,3614280,98,98.0
10029,3614340,92,75.0
10032,3614460,97,96.0
10049,3615090,93,93.0
10061,3615570,95,95.0
10074,3616230,94,92.0
10075,3616260,98,94.0
10076,3616290,91,90.0
10084,3616620,97,96.0
10085,3616680,GE99,98.0
10094,3617160,98,97.0
10097,3617380,97,87.0
10101,3617520,96,92.0
10104,3617670,95,92.0
10106,3617730,95,93.0
10116,3618120,97,95.0
10120,3618240,96,94.0
10129,3618630,98,97.0
10131,3618690,89,74.0
10137,3619020,98,98.0
10140,3619200,96,87.0
10141,3619230,96,89.0
10143,3619320,96,92.0
10149,3619560,94,94.0
10150,3619650,98,97.0
10151,3619680,95,93.0
10159,3619950,97,95.0
10162,3620100,82,77.0
10167,3620340,98,98.0
10172,3620490,91,86.0
10177,3620700,87,84.0
10181,3620820,93,87.0
10184,3620910,94,94.0
10190,3621210,97,96.0
10194,3621270,98,98.0
10202,3621570,97,90.0
10209,3621900,98,97.0
10223,3622470,93,93.0
10229,3622710,GE99,98.0
10235,3623010,93,90.0
10240,3623220,GE99,98.0
10246,3623460,94,91.0
10249,3623580,98,98.0
10271,3624690,91,90.0
10272,3624750,74,67.0
10275,3624900,95,87.0
10283,3625170,97,96.0
10287,3625350,96,94.0
10295,3625770,95,96.0
10300,3626010,82,77.0
10310,3626520,98,97.0
10313,3626670,98,97.0
10322,3627060,97,96.0
10326,3627210,98,97.0
10328,3627300,96,97.0
10338,3627810,84,74.0
10347,3628200,GE99,98.0
10348,3628320,97,95.0
10352,3628590,79,70.0
10360,3628950,94,96.0
10369,3629280,93,85.0
10370,3629370,88,82.0
10375,3629520,98,98.0
10383,3629880,96,95.0
10386,3629970,96,91.0
10387,3630030,96,92.0
10395,3630360,98,96.0
10400,3630540,95,92.0
10402,3630630,96,97.0
10404,3630690,98,96.0
10405,3630780,94,93.0
10408,3630960,89,87.0
10415,3631260,96,90.0
10421,3631470,98,98.0
10430,3631920,91,88.0
10432,3631980,GE99,98.0
10726,3800014,44,33.0
10795,3806780,45,41.0
10805,3808130,41,35.0
10846,3813030,41,33.0
10890,3819410,47,35.0
10947,3900118,34,9.0
10969,3900180,55,36.0
10990,3900250,64,27.0
11200,3901534,27,12.0
11241,3904348,42,22.0
11246,3904353,57,28.0
11252,3904360,68,50.0
11258,3904366,74,47.0
11263,3904371,34,13.0
11264,3904373,86,68.0
11266,3904375,48,27.0
11269,3904378,33,16.0
11270,3904379,53,29.0
11271,3904380,32,13.0
11274,3904383,59,43.0
11275,3904384,27,15.0
11278,3904387,78,53.0
11285,3904394,57,30.0
11286,3904395,39,13.0
11287,3904396,60-64,29.0
11298,3904408,41,17.0
11300,3904410,62,44.0
11307,3904418,77,55.0
11309,3904420,71,50.0
11310,3904421,65,54.0
11315,3904426,31,17.0
11316,3904427,83,71.0
11325,3904437,80,59.0
11326,3904438,73,59.0
11327,3904439,72,52.0
11328,3904440,47,23.0
11332,3904445,65,39.0
11337,3904450,87,73.0
11340,3904453,66,55.0
11341,3904454,67,63.0
11349,3904463,61,47.0
11352,3904467,48,25.0
11359,3904475,65,57.0
11361,3904479,45-49,35.0
11362,3904480,63,42.0
11363,3904481,37,17.0
11365,3904483,69,47.0
11366,3904484,81,81.0
11368,3904486,77,69.0
11369,3904487,77,68.0
11372,3904490,32,16.0
11374,3904492,71,64.0
11375,3904493,85,86.0
11379,3904499,42,25.0
11383,3904504,63,55.0
11389,3904510,71,46.0
11391,3904513,68,52.0
11393,3904515,55,25.0
11394,3904516,27,14.0
11422,3904547,76,61.0
11424,3904549,84,68.0
11425,3904550,78,58.0
11433,3904558,88,80.0
11467,3904609,77,56.0
11468,3904610,64,44.0
11469,3904611,81,71.0
11489,3904635,66,45.0
11507,3904660,92,91.0
11518,3904676,87,80.0
11528,3904689,77,46.0
11530,3904694,71,56.0
11532,3904696,76,53.0
11533,3904697,44,26.0
11534,3904699,83,69.0
11535,3904700,71,24.0
11536,3904701,72,64.0
11537,3904702,80,69.0
11550,3904724,78,60.0
11556,3904734,84,72.0
11557,3904736,56,34.0
11558,3904737,78,59.0
11600,3904800,69,48.0
11604,3904804,73,62.0
11608,3904811,90,78.0
11609,3904812,84,82.0
11615,3904820,85,74.0
11617,3904822,58,37.0
11618,3904823,65,42.0
11622,3904829,68,53.0
11623,3904830,70,45.0
11654,3904870,60,29.0
11656,3904872,74,53.0
11659,3904875,57,31.0
11667,3904887,60-64,36.0
11680,3904909,75-79,63.0
11738,3904985,87,72.0
11745,3904992,75,50.0
11746,3904993,73,56.0
11754,3905002,91,77.0
11756,3905004,80,71.0
11759,3905007,83,64.0
11784,3905042,89,71.0
11785,3905043,75,65.0
11786,3905044,79,63.0
11787,3905045,86,83.0
11810,3906190,60-64,32.0
11813,3910000,65,53.0
11823,3910010,70-74,38.0
11825,3910012,63,52.0
11827,3910014,69,55.0
11842,3910029,79,58.0
11864,4000777,24,7.0
11879,4000796,19,6.0
11883,4000800,33,10.0
11910,4003630,52,35.0
11923,4004500,61,44.0
11939,4005490,38,23.0
11973,4007620,51,24.0
11976,4007740,41,24.0
12005,4009570,64,46.0
12021,4010590,70,51.0
12027,4010920,34,18.0
12100,4015720,55,39.0
12125,4017250,30,16.0
12164,4019950,30,16.0
12171,4020250,45,28.0
12181,4020970,21,11.0
12182,4021000,55,32.0
12191,4021720,53,39.0
12204,4022770,17,9.0
12213,4023280,55,36.0
12232,4024690,31,19.0
12242,4025290,33,16.0
12264,4026880,34,20.0
12291,4028680,56,41.0
12319,4030240,29,19.0
12329,4030600,38,26.0
12380,4033480,44,25.0
12394,4100023,69,28.0
12405,4101120,73,33.0
12419,4101920,75,42.0
12421,4102040,69,25.0
12430,4102800,67,29.0
12440,4103480,83,42.0
12450,4103940,67,30.0
12464,4104740,82,47.0
12469,4105160,62,32.0
12477,4105910,59,32.0
12478,4106000,64,23.0
12481,4106300,76,33.0
12482,4106510,70,34.0
12493,4107020,77,35.0
12496,4107230,87,65.0
12505,4108010,76,43.0
12506,4108040,71,39.0
12507,4108100,68,20.0
12517,4108720,64,29.0
12518,4108820,75,24.0
12519,4108830,72,35.0
12526,4109330,78,36.0
12539,4110040,63,28.0
12543,4110350,61,23.0
12545,4110520,58,22.0
12549,4110710,70,37.0
12550,4110820,74,38.0
12551,4110890,82,42.0
12557,4111290,86,45.0
12559,4111450,78,46.0
12564,4111670,60,22.0
12571,4112240,75,48.0
12579,4113170,85,64.0
12582,4113530,63,23.0
12628,4200071,61,44.0
12659,4200119,53,35.0
12666,4200127,70,55.0
12677,4200140,54,29.0
12715,4200843,21,15.0
12764,4202040,88,80.0
12768,4202280,38,30.0
12770,4202340,72,65.0
12771,4202400,93,91.0
12781,4202790,83,78.0
12783,4202850,92,87.0
12786,4202970,81,74.0
12793,4203330,64,56.0
12799,4203510,86,74.0
12800,4203570,65,50.0
12810,4203960,84,83.0
12816,4204230,63,49.0
12821,4204590,78,77.0
12826,4204890,80,73.0
12829,4205010,78,73.0
12833,4205190,74,64.0
12834,4205310,86,85.0
12837,4205400,68,58.0
12840,4205490,82,79.0
12841,4205550,70,61.0
12845,4205760,75,61.0
12854,4206240,54,39.0
12861,4206480,83,80.0
12867,4206840,79,70.0
12870,4206960,79,83.0
12873,4207110,83,69.0
12876,4207230,82,75.0
12880,4207530,88,75.0
12886,4207710,92,90.0
12894,4208550,81,79.0
12896,4208670,69,58.0
12899,4208850,68,59.0
12905,4209300,57,56.0
12920,4210070,92,89.0
12929,4210590,86,85.0
12935,4210860,78,68.0
12936,4210870,88,82.0
12953,4211610,63,69.0
12954,4211670,92,93.0
12955,4211700,56,40.0
12957,4211760,82,70.0
12958,4211790,82,79.0
12978,4212690,79,70.0
12989,4213140,44,37.0
12994,4213440,45-49,36.0
13002,4214160,91,82.0
13004,4214250,86,83.0
13009,4214580,82,84.0
13023,4215290,66,51.0
13024,4215330,80,78.0
13035,4215830,84,81.0
13041,4216110,94,92.0
13046,4216380,84,83.0
13047,4216410,75,76.0
13055,4216980,61,53.0
13056,4217010,93,91.0
13060,4217220,81,82.0
13061,4217280,87,83.0
13063,4217370,77,72.0
13078,4217940,87,74.0
13085,4218270,84,79.0
13086,4218300,68,59.0
13091,4218510,88,77.0
13095,4218630,82,81.0
13096,4218660,92,85.0
13098,4218750,81,77.0
13101,4218840,83,75.0
13103,4218930,90,83.0
13104,4218960,94,93.0
13105,4218990,48,38.0
13109,4219170,61,49.0
13111,4219290,79,66.0
13113,4219470,89,84.0
13114,4219500,59,59.0
13123,4219890,86,84.0
13125,4220040,54,38.0
13126,4220100,78,70.0
13131,4220370,76,67.0
13136,4220550,88,80.0
13144,4221090,60,47.0
13148,4221200,78,69.0
13161,4221870,88,78.0
13178,4222440,84,81.0
13181,4222560,92,89.0
13187,4222770,82,83.0
13191,4222860,82,68.0
13200,4223640,91,94.0
13214,4224210,93,90.0
13217,4224320,63,49.0
13219,4224390,89,80.0
13223,4224570,94,90.0
13228,4224820,70,63.0
13230,4224960,78,75.0
13234,4225110,76,79.0
13239,4225290,86,88.0
13245,4225830,78,67.0
13253,4226250,70,63.0
13254,4226300,52,36.0
13256,4226390,50-54,38.0
13259,4226460,80,75.0
13262,4226580,88,83.0
13267,4226810,66,64.0
13320,7200030,41,11.0
13350,4400210,51,26.0
13351,4400240,49,27.0
13352,4400270,66,41.0
13354,4400330,42,18.0
13367,4400750,81,59.0
13370,4400840,23,10.0
13372,4400900,27,15.0
13377,4401110,51,25.0
13380,4401200,33,14.0
13384,4500720,66,49.0
13386,4500780,79,61.0
13390,4500900,70,52.0
13396,4501110,82,73.0
13397,4501170,73,57.0
13399,4501440,78,65.0
13400,4501500,73,50.0
13401,4501530,70-74,45.0
13402,4501560,69,53.0
13406,4501830,60-64,32.0
13407,4501860,56,47.0
13410,4502010,85,61.0
13413,4502130,68,51.0
13418,4502280,65,44.0
13419,4502310,78,60.0
13420,4502340,56,45.0
13425,4502490,83,69.0
13427,4502550,75,56.0
13428,4502580,67,50.0
13429,4502610,65-69,42.0
13432,4502700,79,74.0
13433,4502730,66,39.0
13436,4502820,83,60.0
13439,4503030,70-74,55.0
13440,4503060,76,50.0
13443,4503210,61,39.0
13444,4503330,79,49.0
13445,4503360,72,35.0
13446,4503390,81,67.0
13450,4503510,82,67.0
13453,4503600,82,75.0
13454,4503630,80,60.0
13455,4503660,78,50.0
13458,4503810,66,54.0
13459,4503840,76,69.0
13460,4503870,73,61.0
13461,4503900,90,86.0
13462,4503901,83,60.0
13463,4503902,62,38.0
13480,4602070,66,37.0
13577,4659820,70,46.0
13583,4666270,66,47.0
13618,4700001,45,17.0
13621,4700090,31,16.0
13627,4700147,5,2.0
13628,4700148,18,6.0
13629,4700149,48,28.0
13631,4700151,62,11.0
13632,4700152,53,20.0
13633,4700153,45,18.0
13635,4700180,22,9.0
13639,4700300,31,18.0
13640,4700330,37,18.0
13641,4700360,48,33.0
13642,4700420,24,7.0
13644,4700510,28,13.0
13645,4700570,29,7.0
13647,4700630,31,16.0
13649,4700690,38,14.0
13651,4700750,30,16.0
13652,4700780,43,17.0
13654,4700900,41,24.0
13658,4701020,42,13.0
13667,4701290,33,17.0
13669,4701400,50,41.0
13672,4701470,40,27.0
13675,4701590,31,8.0
13679,4701740,33,17.0
13681,4701800,52,34.0
13690,4702100,39,25.0
13691,4702130,60,57.0
13693,4702190,52,34.0
13694,4702220,43,12.0
13696,4702310,26,15.0
13697,4702340,37,28.0
13705,4702580,28,9.0
13707,4702640,25-29,13.0
13708,4702670,39,22.0
13710,4702760,23,9.0
13712,4702820,32,14.0
13713,4702880,28,14.0
13716,4703000,32,22.0
13717,4703030,38,19.0
13721,4703180,23,7.0
13723,4703240,53,12.0
13731,4703480,33,16.0
13732,4703510,35,31.0
13734,4703590,41,9.0
13735,4703600,33,14.0
13737,4703690,41,20.0
13740,4703780,32,24.0
13744,4703990,36,21.0
13745,4704020,42,34.0
13747,4704080,33,13.0
13755,4704350,35,8.0
13756,4704380,49,25.0
13760,4704500,20-24,18.0
13761,4704530,61,31.0
13762,4704550,45,14.0
13770,4800008,76,59.0
13772,4800010,44,35.0
13776,4800016,9,10.0
13784,4800030,46,22.0
13796,4800054,45,35.0
13797,4800055,43,32.0
13821,4800093,9,2.0
13860,4800207,33,14.0
13861,4800209,53,69.0
13862,4800210,50,71.0
13904,4800292,55,45.0
13934,4801440,55,47.0
13952,4807350,60,63.0
13955,4807440,35,49.0
13962,4807710,26,35.0
13963,4807780,70,54.0
13964,4807800,26,35.0
13965,4807830,32,33.0
13966,4807890,74,67.0
13969,4808090,39,41.0
13971,4808130,36,43.0
13975,4808280,37,54.0
13976,4808310,38,43.0
13987,4808700,39,35.0
13992,4808940,51,53.0
13998,4809200,43,56.0
14005,4809450,66,77.0
14007,4809570,31,26.0
14009,4809670,30,24.0
14011,4809720,26,36.0
14015,4809860,49,38.0
14020,4810200,26,20.0
14021,4810230,46,44.0
14032,4810710,78,67.0
14046,4811190,35,21.0
14049,4811280,38,37.0
14061,4811680,42,60.0
14064,4811790,30,19.0
14073,4812180,50,45.0
14078,4812420,52,56.0
14087,4812780,41,29.0
14088,4812810,49,51.0
14091,4813020,87,79.0
14092,4813050,40,40.0
14096,4813230,32,35.0
14106,4813590,35,32.0
14125,4814280,60,59.0
14126,4814310,41,15.0
14127,4814370,31,20.0
14129,4814430,34,38.0
14139,4814730,60,58.0
14147,4815000,57,50.0
14150,4815180,60,69.0
14151,4815210,79,55.0
14152,4815240,45,35.0
14153,4815270,34,53.0
14155,4815330,40,61.0
14166,4815750,43,45.0
14170,4815910,37,38.0
14176,4816110,54,57.0
14180,4816230,32,43.0
14186,4816410,32,44.0
14189,4816530,49,56.0
14191,4816620,27,29.0
14194,4816740,49,51.0
14196,4816860,26,19.0
14203,4817070,37,45.0
14209,4817390,23,31.0
14214,4817610,25,61.0
14215,4817640,32,22.0
14216,4817700,50,42.0
14217,4817730,43,59.0
14221,4817850,27,7.0
14224,4818000,29,20.0
14226,4818060,29,38.0
14229,4818150,20,28.0
14230,4818180,26,41.0
14232,4818280,39,27.0
14233,4818300,35,49.0
14235,4818360,28,17.0
14238,4818540,42,44.0
14245,4818810,31,45.0
14258,4819350,42,37.0
14259,4819380,62,58.0
14263,4819560,57,57.0
14265,4819650,55,52.0
14266,4819700,23,32.0
14270,4819830,53,38.0
14272,4819950,70,77.0
14274,4820010,79,72.0
14282,4820250,39,50.0
14283,4820280,31,26.0
14285,4820340,44,40.0
14292,4820600,51,22.0
14305,4821150,34,40.0
14311,4821390,27,22.0
14312,4821420,33,50.0
14320,4821660,76,56.0
14321,4821720,36,34.0
14323,4821780,40-44,38.0
14334,4822170,58,46.0
14341,4822470,31,36.0
14343,4822530,40,48.0
14359,4823010,27,34.0
14366,4823250,92,81.0
14374,4823640,33,28.0
14383,4823910,55,39.0
14386,4824030,33,8.0
14387,4824060,66,67.0
14388,4824100,51,37.0
14398,4824420,30,36.0
14412,4824930,47,64.0
14414,4824990,40,30.0
14418,4825170,67,65.0
14419,4825200,41,36.0
14421,4825260,66,62.0
14430,4825590,55,60.0
14431,4825620,40,36.0
14432,4825660,38,29.0
14435,4825740,45,38.0
14446,4826130,29,43.0
14447,4826190,44,35.0
14456,4826470,77,58.0
14458,4826580,51,56.0
14461,4826670,32,26.0
14463,4826790,27,49.0
14468,4827030,74,59.0
14476,4827300,64,69.0
14487,4827720,45,36.0
14489,4827780,29,34.0
14491,4827870,28,13.0
14497,4828110,44,38.0
14502,4828290,53,67.0
14506,4828500,40,25.0
14508,4828550,34,49.0
14514,4828740,51,43.0
14518,4828890,28,35.0
14519,4828920,55,43.0
14521,4829010,33,22.0
14525,4829160,29,20.0
14535,4829670,43,34.0
14539,4829850,61,52.0
14545,4830060,47,47.0
14549,4830250,37,41.0
14553,4830390,36,37.0
14557,4830570,31,43.0
14558,4830600,51,43.0
14559,4830640,60,61.0
14569,4831040,35,46.0
14573,4831260,60,67.0
14583,4831760,36,51.0
14591,4832090,27,17.0
14597,4832280,54,52.0
14601,4832400,33,36.0
14613,4832940,55,45.0
14618,4833120,49,49.0
14619,4833180,62,47.0
14641,4834170,36,47.0
14645,4834320,34,39.0
14648,4834440,61,57.0
14659,4834830,47,38.0
14660,4834860,33,54.0
14665,4835070,31,48.0
14666,4835100,67,51.0
14673,4835400,26,30.0
14674,4835430,49,57.0
14690,4836000,75,78.0
14704,4836660,40,49.0
14711,4837020,49,42.0
14714,4837140,34,38.0
14715,4837150,73,63.0
14727,4837650,64,47.0
14729,4837740,31,42.0
14735,4838080,63,46.0
14739,4838220,53,39.0
14751,4838700,32,25.0
14752,4838730,25,23.0
14754,4838790,31,35.0
14757,4838900,24,41.0
14759,4838970,35,20.0
14767,4839270,34,22.0
14773,4839480,58,64.0
14779,4839690,29,24.0
14784,4839930,64,65.0
14786,4839990,25,26.0
14788,4840080,33,17.0
14805,4840680,29,30.0
14806,4840710,43,52.0
14811,4840920,25,36.0
14812,4840950,31,21.0
14814,4841070,34,23.0
14815,4841100,49,37.0
14818,4841220,25,24.0
14847,4842330,27,43.0
14852,4842480,42,22.0
14853,4842510,29,27.0
