,leaid,rla_score,math_score
1344,609070,37,14.0
1350,609390,50,19.0
1355,609620,28,9.0
1356,609640,62,47.0
1361,609850,65,37.0
1363,609940,55,35.0
1365,610050,58,28.0
1367,610260,73,36.0
1373,610620,77,67.0
1378,610860,64,36.0
1383,611110,54,20.0
1388,611460,57,27.0
1398,611820,61,40.0
1404,612070,68,53.0
1406,612120,56,30.0
1408,612180,52,25.0
1409,612210,80,68.0
1410,612330,56,34.0
1420,612910,56,23.0
1427,613360,49,22.0
1430,613530,51,24.0
1436,613890,68,48.0
1437,613920,53,24.0
1448,614400,78,66.0
1449,614430,80,75.0
1452,614550,42,15.0
1455,614760,62,42.0
1457,614820,47,29.0
1458,614880,65,44.0
1466,615180,57,32.0
1467,615240,67,47.0
1468,615270,73,51.0
1483,616230,60,33.0
1488,616325,55,28.0
1490,616500,58,19.0
1497,616740,46,23.0
1500,616920,49,17.0
1516,618060,71,50.0
1522,618390,30,8.0
1531,618930,61,37.0
1539,619260,41,17.0
1544,619490,59,21.0
1545,619540,49,21.0
1548,619650,47,13.0
1550,619700,70,29.0
1563,620130,86,82.0
1583,621000,64,48.0
1593,621400,51,19.0
1599,621600,57,31.0
1601,621690,62,30.0
1609,622110,61,46.0
1611,622230,48,31.0
1615,622410,46,23.0
1617,622500,49,27.0
1619,622590,75,57.0
1621,622710,51,23.0
1622,622740,47,15.0
1623,622800,84,74.0
1631,623080,58,30.0
1633,623160,37,10.0
1634,623340,42,14.0
1639,623610,47,18.0
1648,624030,46,27.0
1649,624090,43,16.0
1659,624500,72,54.0
1664,624660,45,19.0
1674,625150,47,22.0
1678,625320,63,31.0
1682,625470,45,14.0
1684,625530,56,31.0
1686,625690,56,38.0
1689,625800,41,17.0
1690,625830,61,39.0
1691,625860,35,16.0
1700,626310,79,68.0
1702,626370,53,35.0
1707,626640,53,28.0
1711,626880,62,36.0
1712,626910,67,36.0
1716,627060,49,20.0
1720,627240,60,39.0
1725,627590,43,13.0
1726,627690,46,17.0
1727,627720,68,41.0
1732,627850,87,73.0
1736,628050,35,17.0
1740,628250,52,30.0
1745,628650,60,31.0
1752,629130,49,20.0
1756,629270,43,24.0
1762,629490,51,19.0
1764,629550,47,20.0
1766,629610,88,86.0
1769,629700,73,62.0
1773,629850,44,20.0
1775,629940,49,24.0
1776,630030,32,16.0
1779,630210,49,17.0
1781,630250,70,40.0
1789,630600,36,15.0
1791,630660,72,51.0
1793,630750,74,45.0
1807,631320,44,15.0
1812,631530,72,58.0
1815,631710,52,29.0
1821,632010,42,26.0
1823,632070,73,45.0
1830,632370,46,23.0
1834,632550,40,17.0
1842,633150,50,27.0
1851,633630,72,48.0
1855,633750,60,31.0
1856,633840,48,27.0
