,leaid,math_score,rla_score
832,2012260,15.0,20.0
833,2012990,12.0,20.0
834,2100081,27.0,46.0
835,2100300,44.0,51.0
836,2100510,55.0,57.0
837,2100570,42.0,53.0
838,2100750,36.0,44.0
839,2100900,54.0,57.0
840,2101020,32.0,43.0
841,2101150,23.0,38.0
842,2101200,36.0,47.0
843,2101470,39.0,46.0
844,2101860,45.0,51.0
845,2101950,27.0,38.0
846,2102010,34.0,42.0
847,2102280,49.0,51.0
848,2102490,44.0,47.0
849,2102710,43.0,48.0
850,2102860,40.0,48.0
851,2102990,33.0,40.0
852,2103030,37.0,45.0
853,2103090,52.0,53.0
854,2103210,38.0,46.0
855,2103720,43.0,55.0
856,2103810,43.0,51.0
857,2103960,46.0,57.0
858,2104050,40.0,50.0
859,2104250,40.0,54.0
860,2104410,42.0,47.0
861,2104530,61.0,64.0
862,2104800,33.0,45.0
863,2104950,49.0,55.0
864,2105260,48.0,57.0
865,2105320,34.0,43.0
866,2105730,38.0,48.0
867,2106000,50.0,49.0
868,2200030,64.0,70.0
869,2200039,88.0,82.0
870,2200090,85.0,85.0
871,2200150,63.0,51.0
872,2200180,66.0,70.0
873,2200270,77.0,78.0
874,2200300,57.0,66.0
875,2200330,73.0,75.0
876,2200510,74.0,79.0
877,2200540,54.0,61.0
878,2200630,74.0,78.0
879,2200720,79.0,74.0
880,2200810,77.0,72.0
881,2200840,68.0,65.0
882,2200870,73.0,71.0
883,2200900,80.0,88.0
884,2200990,83.0,74.0
885,2201020,83.0,84.0
886,2201080,57.0,66.0
887,2201140,66.0,69.0
888,2201170,59.0,57.0
889,2201200,70.0,73.0
890,2201290,66.0,76.0
891,2201410,73.0,73.0
892,2201440,79.0,74.0
893,2201530,62.0,55.0
894,2201560,64.0,71.0
895,2201590,64.0,71.0
896,2201620,76.0,72.0
897,2201650,80.0,83.0
898,2201680,57.0,66.0
899,2201740,77.0,75.0
900,2201800,82.0,88.0
901,2201830,81.0,84.0
902,2201860,70.0,77.0
903,2201890,65.0,54.0
904,2309930,37.0,59.0
905,2500554,83.0,97.0
906,2501950,89.0,98.0
907,2501980,89.0,94.0
908,2502190,75.0,88.0
909,2502310,73.0,91.0
910,2502490,93.0,98.0
911,2502670,88.0,94.0
912,2502790,66.0,82.0
913,2502940,90.0,96.0
914,2503030,85.0,94.0
915,2503080,78.0,95.0
916,2503090,53.0,79.0
917,2503150,93.0,98.0
918,2503270,80.0,92.0
919,2503510,91.0,97.0
920,2503540,35.0,65.0
921,2503660,73.0,87.0
922,2504770,58.0,81.0
923,2504830,51.0,76.0
924,2504980,79.0,87.0
925,2505010,88.0,98.0
926,2505470,67.0,88.0
927,2505480,69.0,91.0
928,2505485,86.0,96.0
929,2505970,73.0,87.0
930,2506090,91.0,98.0
931,2506270,49.0,82.0
932,2506510,88.0,97.0
933,2506660,53.0,74.0
934,2506780,73.0,88.0
935,2506840,97.0,98.0
936,2506930,94.0,98.0
937,2507020,66.0,82.0
938,2507110,55.0,74.0
