,leaid,rla_score,math_score,year
262,0400757,87,77,2018
263,0400769,34,24,2018
264,0400770,37,47,2018
265,0400772,40,40,2018
266,0400775,49,49,2018
267,0400776,30,30,2018
268,0400783,37,42,2018
269,0400790,47,47,2018
270,0400794,39,41,2018
271,0400800,67,47,2018
272,0400803,57,54,2018
273,0400805,49,49,2018
274,0400816,12,17,2018
275,0400819,84,74,2018
276,0400820,24,34,2018
277,0400823,42,47,2018
278,0400828,82,82,2018
279,0400838,74,64,2018
280,0400839,12,12,2018
281,0400851,92,82,2018
282,0400858,42,47,2018
283,0400859,74,84,2018
284,0400862,30,30,2018
285,0400880,7,7,2018
286,0400904,34,34,2018
287,0400909,67,67,2018
288,0400910,69,69,2018
289,0400911,74,74,2018
290,0400920,23,21,2018
291,0400924,44,44,2018
292,0400926,62,37,2018
293,0400946,30,30,2018
294,0400947,64,64,2018
295,0401410,29,41,2018
296,0401460,47,52,2018
297,0401600,24,15,2018
298,0401740,32,36,2018
299,0401760,77,82,2018
300,0401870,63,65,2018
301,0401940,12,27,2018
302,0402320,7,7,2018
303,0402530,34,24,2018
304,0402690,39,41,2018
305,0402860,42,38,2018
306,0402920,34,30,2018
307,0403010,32,32,2018
308,0403040,57,62,2018
309,0403400,63,66,2018
310,0403450,49,56,2018
311,0403500,27,17,2018
312,0403780,59,64,2018
313,0403820,37,44,2018
314,0403860,7,7,2018
315,0403870,37,47,2018
316,0403950,15,15,2018
317,0403990,42,47,2018
318,0404010,49,30,2018
319,0404060,17,17,2018
320,0404280,27,42,2018
321,0404410,24,24,2018
322,0404570,34,24,2018
323,0404630,45,43,2018
324,0404720,27,27,2018
325,0404970,43,48,2018
326,0405030,24,24,2018
327,0405070,32,42,2018
328,0405320,47,57,2018
329,0405530,22,32,2018
330,0405820,17,17,2018
331,0405930,46,49,2018
332,0405980,32,32,2018
333,0406070,37,47,2018
334,0406250,45,60,2018
335,0406330,30,38,2018
336,0406440,30,30,2018
337,0406580,44,34,2018
338,0406730,52,52,2018
339,0406810,62,67,2018
340,0406850,49,30,2018
341,0407130,54,54,2018
342,0407170,32,37,2018
343,0407240,42,47,2018
344,0407300,57,57,2018
345,0407520,22,22,2018
346,0407530,17,12,2018
347,0407570,57,62,2018
348,0407700,47,37,2018
349,0407750,59,59,2018
350,0407820,72,82,2018
351,0408080,64,54,2018
352,0408170,18,18,2018
353,0408280,54,54,2018
354,0408340,56,59,2018
355,0408410,52,57,2018
356,0408520,30,28,2018
357,0408600,24,44,2018
358,0408680,7,27,2018
359,0408800,41,39,2018
360,0408850,60,65,2018
361,0409190,22,32,2018
362,0409310,69,69,2018
363,0409460,17,22,2018
364,0409630,21,20,2018
365,0409731,51,57,2018
366,0409733,44,44,2018
367,0500001,42,27,2018
368,0500006,37,22,2018
369,0500009,32,17,2018
370,0500012,42,22,2018
371,0500015,44,35,2018
372,0500016,37,12,2018
373,0500017,35,24,2018
374,0500019,44,33,2018
375,0500020,27,12,2018
376,0500021,37,27,2018
377,0500023,27,17,2018
378,0500026,17,6,2018
379,0500028,32,22,2018
380,0500029,42,42,2018
381,0500030,37,17,2018
382,0500032,32,12,2018
383,0500041,24,24,2018
384,0500042,36,23,2018
385,0500043,54,37,2018
386,0500044,36,23,2018
387,0500045,32,17,2018
388,0500046,47,42,2018
389,0500047,37,22,2018
390,0500048,37,17,2018
391,0500049,42,38,2018
392,0500051,42,22,2018
393,0500055,62,42,2018
394,0500059,57,47,2018
395,0500062,27,12,2018
396,0500065,22,12,2018
397,0500067,47,37,2018
398,0500068,52,37,2018
399,0500070,32,12,2018
400,0500071,42,27,2018
401,0500072,34,15,2018
402,0500073,47,32,2018
403,0500074,52,42,2018
404,0500076,52,22,2018
405,0500078,92,87,2018
406,0500079,27,17,2018
407,0500082,47,32,2018
408,0500394,43,20,2018
409,0500398,48,30,2018
410,0500402,27,22,2018
411,0500405,37,22,2018
412,0500409,84,74,2018
413,0500412,34,15,2018
414,0500417,46,15,2018
415,0500418,32,12,2018
416,0500419,25,15,2018
417,0502250,49,36,2018
418,0502280,47,32,2018
419,0502430,47,32,2018
420,0502550,52,32,2018
421,0502580,37,27,2018
422,0502610,52,37,2018
423,0502670,24,15,2018
424,0502700,42,22,2018
425,0502730,32,22,2018
426,0502790,42,22,2018
427,0502820,42,17,2018
428,0502880,48,40,2018
429,0502960,56,46,2018
430,0503030,43,28,2018
431,0503060,62,50,2018
432,0503090,52,42,2018
433,0503150,47,37,2018
434,0503240,67,57,2018
435,0503300,32,27,2018
436,0503320,17,8,2018
437,0503420,44,15,2018
438,0503450,37,27,2018
439,0503480,42,27,2018
440,0503630,34,24,2018
441,0503640,53,34,2018
442,0503690,56,45,2018
443,0503710,47,37,2018
444,0503750,54,43,2018
445,0503770,47,22,2018
446,0503840,32,32,2018
447,0503960,47,27,2018
448,0504020,42,32,2018
449,0504050,47,42,2018
450,0504080,32,27,2018
451,0504110,47,37,2018
452,0504170,27,12,2018
453,0504200,52,52,2018
454,0504350,17,12,2018
455,0504370,32,22,2018
456,0504380,43,29,2018
457,0504410,52,42,2018
458,0504560,57,57,2018
459,0504590,48,40,2018
460,0504680,47,27,2018
461,0504740,57,27,2018
462,0504800,27,22,2018
463,0504860,37,32,2018
464,0504890,52,32,2018
465,0504930,46,44,2018
466,0504980,17,7,2018
467,0505170,34,24,2018
468,0505190,57,52,2018
469,0505340,57,27,2018
470,0505410,17,7,2018
471,0505430,52,32,2018
472,0505470,32,17,2018
473,0505500,32,17,2018
474,0505580,42,42,2018
475,0505680,37,23,2018
476,0505760,42,27,2018
477,0505850,27,22,2018
478,0505970,62,47,2018
479,0506060,30,18,2018
480,0506090,50,37,2018
481,0506120,58,47,2018
482,0506150,47,32,2018
483,0506210,27,22,2018
484,0506240,42,37,2018
485,0506270,18,10,2018
486,0506330,47,34,2018
487,0506360,47,27,2018
488,0506420,42,37,2018
489,0506540,47,32,2018
490,0506630,47,37,2018
491,0506690,32,22,2018
492,0506840,52,47,2018
493,0506870,37,32,2018
494,0506900,70,61,2018
495,0506930,37,27,2018
496,0506990,71,52,2018
497,0507110,32,12,2018
498,0507140,44,24,2018
499,0507170,37,27,2018
500,0507230,22,17,2018
501,0507290,42,27,2018
502,0507320,47,32,2018
503,0507350,27,17,2018
504,0507380,51,38,2018
505,0507530,37,32,2018
506,0507560,57,42,2018
507,0507620,37,12,2018
508,0507680,22,7,2018
509,0507710,32,17,2018
510,0507740,57,22,2018
511,0507770,42,32,2018
512,0507840,22,7,2018
513,0507860,37,17,2018
514,0507890,31,16,2018
515,0507920,37,22,2018
516,0507990,47,22,2018
517,0508040,28,15,2018
518,0508130,40,30,2018
519,0508240,52,27,2018
520,0508280,38,27,2018
521,0508340,27,17,2018
522,0508400,32,12,2018
523,0508490,34,15,2018
524,0508610,51,39,2018
525,0508640,32,12,2018
526,0508670,55,44,2018
527,0508700,42,27,2018
528,0508730,47,32,2018
529,0508940,42,27,2018
530,0509000,31,22,2018
531,0509060,37,27,2018
532,0509150,47,27,2018
533,0509190,52,37,2018
534,0509240,37,27,2018
535,0509270,42,27,2018
536,0509330,42,37,2018
537,0509360,17,7,2018
538,0509390,31,22,2018
539,0509420,37,27,2018
540,0509480,52,32,2018
541,0509540,37,22,2018
542,0509570,37,22,2018
543,0509600,47,47,2018
544,0509630,22,17,2018
545,0509720,52,32,2018
546,0509750,42,42,2018
547,0509780,24,15,2018
548,0509840,32,22,2018
549,0509990,37,27,2018
550,0510080,52,37,2018
551,0510170,42,22,2018
552,0510200,52,32,2018
553,0510260,37,17,2018
554,0510290,54,24,2018
555,0510320,47,27,2018
556,0510380,47,37,2018
557,0510410,67,42,2018
558,0510440,43,25,2018
559,0510560,57,47,2018
560,0510680,32,20,2018
561,0510920,44,24,2018
562,0510950,17,12,2018
563,0510980,52,37,2018
564,0511010,52,37,2018
565,0511070,42,27,2018
566,0511130,37,22,2018
567,0511220,52,42,2018
568,0511340,47,37,2018
569,0511370,22,12,2018
570,0511610,51,48,2018
571,0511700,62,42,2018
572,0511730,42,37,2018
573,0511760,47,32,2018
574,0511820,37,17,2018
575,0511850,36,22,2018
576,0511880,47,32,2018
577,0511970,49,33,2018
578,0512000,47,22,2018
579,0512060,53,36,2018
580,0512090,52,47,2018
581,0512180,47,37,2018
582,0512210,53,39,2018
583,0512420,44,24,2018
584,0512450,46,39,2018
585,0512480,32,12,2018
586,0512510,42,22,2018
587,0512520,47,27,2018
588,0512540,49,34,2018
589,0512570,42,32,2018
590,0512630,42,22,2018
591,0512660,40,33,2018
592,0512960,37,32,2018
593,0513080,49,35,2018
594,0513110,36,26,2018
595,0513230,42,32,2018
596,0513350,62,42,2018
597,0513380,76,55,2018
598,0513410,51,36,2018
599,0513530,56,42,2018
600,0513560,54,44,2018
601,0513680,47,32,2018
602,0513930,21,10,2018
603,0514010,47,27,2018
604,0514020,27,12,2018
605,0514040,47,27,2018
606,0514140,46,33,2018
607,0514370,47,17,2018
608,0514400,52,27,2018
609,0514430,44,29,2018
610,0514490,47,32,2018
611,0600001,52,17,2018
612,0600011,69,30,2018
613,0600013,74,58,2018
614,0600014,39,21,2018
615,0600015,54,24,2018
616,0600016,58,27,2018
617,0600017,46,18,2018
618,0600019,79,63,2018
619,0600020,81,68,2018
620,0600022,42,12,2018
621,0600025,83,71,2018
622,0600026,64,24,2018
623,0600027,44,19,2018
624,0600028,76,44,2018
625,0600029,62,35,2018
626,0600032,56,52,2018
627,0600033,52,12,2018
628,0600034,55,26,2018
629,0600035,52,7,2018
630,0600036,51,25,2018
631,0600037,44,34,2018
632,0600038,54,15,2018
633,0600039,47,12,2018
634,0600040,42,22,2018
635,0600043,82,57,2018
636,0600044,57,37,2018
637,0600045,57,27,2018
638,0600046,42,12,2018
639,0600047,54,28,2018
640,0600048,58,34,2018
641,0600049,54,24,2018
642,0600051,57,37,2018
643,0600052,57,27,2018
644,0600060,62,32,2018
645,0600061,42,12,2018
646,0600062,49,30,2018
647,0600063,62,27,2018
648,0600064,56,23,2018
649,0600065,54,15,2018
650,0600067,67,32,2018
651,0600068,67,37,2018
652,0600069,52,28,2018
653,0600116,62,22,2018
654,0600153,64,54,2018
655,0600158,62,27,2018
656,0600159,74,64,2018
657,0600160,57,22,2018
658,0601322,67,32,2018
659,0601331,37,27,2018
660,0601332,44,18,2018
661,0601339,42,17,2018
662,0601409,42,32,2018
663,0601410,77,47,2018
664,0601414,59,40,2018
665,0601415,52,12,2018
666,0601418,42,12,2018
667,0601421,39,21,2018
668,0601423,52,22,2018
669,0601426,52,27,2018
670,0601620,73,49,2018
671,0601650,81,68,2018
672,0601770,68,52,2018
673,0601860,72,62,2018
674,0602430,41,16,2018
675,0602450,57,27,2018
676,0602630,52,24,2018
677,0602670,68,45,2018
678,0602700,54,29,2018
679,0602820,37,12,2018
680,0602850,44,17,2018
681,0602970,64,62,2018
682,0603030,57,35,2018
683,0603300,53,25,2018
684,0603600,54,24,2018
685,0603690,51,24,2018
686,0603840,34,10,2018
687,0604020,39,15,2018
688,0604110,62,27,2018
689,0604230,47,22,2018
690,0604290,54,23,2018
691,0604440,62,26,2018
692,0604620,57,41,2018
693,0604740,66,53,2018
694,0604830,80,57,2018
695,0605040,34,15,2018
696,0605240,52,32,2018
697,0605610,78,42,2018
698,0605700,54,24,2018
699,0605820,56,28,2018
700,0605880,59,48,2018
701,0605940,62,32,2018
702,0606450,65,38,2018
703,0606570,52,12,2018
704,0606780,57,42,2018
705,0606870,52,32,2018
706,0606900,44,24,2018
707,0606990,67,22,2018
708,0607230,69,43,2018
709,0607440,74,49,2018
710,0607500,66,52,2018
711,0607530,82,62,2018
712,0607560,37,32,2018
713,0607800,65,54,2018
714,0607900,52,28,2018
715,0607920,46,13,2018
716,0607970,49,13,2018
717,0608010,57,18,2018
718,0608130,54,25,2018
719,0608160,65,37,2018
720,0608190,45,26,2018
721,0608370,62,43,2018
722,0608460,57,36,2018
723,0608550,42,17,2018
724,0608760,70,48,2018
725,0608970,47,22,2018
726,0609030,76,48,2018
727,0609070,37,14,2018
728,0609120,42,12,2018
729,0609390,50,19,2018
730,0609570,52,32,2018
731,0609620,28,9,2018
732,0609640,62,47,2018
733,0609690,52,22,2018
734,0609810,42,22,2018
735,0609850,65,37,2018
736,0609870,67,57,2018
737,0609940,55,35,2018
738,0610050,58,28,2018
739,0610260,73,36,2018
740,0610350,42,27,2018
741,0610620,77,67,2018
742,0610770,52,22,2018
743,0610860,64,36,2018
744,0611040,27,12,2018
745,0611110,54,20,2018
746,0611280,42,32,2018
747,0611460,57,27,2018
748,0611520,57,12,2018
749,0611730,62,37,2018
750,0611780,62,32,2018
751,0611820,61,40,2018
752,0611870,69,30,2018
753,0612070,68,53,2018
754,0612120,56,30,2018
755,0612180,52,25,2018
756,0612210,80,68,2018
757,0612330,56,34,2018
758,0612630,34,24,2018
759,0612840,52,32,2018
760,0612910,56,23,2018
761,0612930,44,24,2018
762,0613360,49,22,2018
763,0613470,62,42,2018
764,0613530,51,24,2018
765,0613800,37,22,2018
766,0613840,62,12,2018
767,0613890,68,48,2018
768,0613920,53,24,2018
769,0614070,47,27,2018
770,0614190,52,27,2018
771,0614250,67,22,2018
772,0614400,78,66,2018
773,0614430,80,75,2018
774,0614550,42,15,2018
775,0614760,62,42,2018
776,0614820,47,29,2018
777,0614880,65,44,2018
778,0614950,57,37,2018
779,0615180,57,32,2018
780,0615240,67,47,2018
781,0615270,73,51,2018
782,0616230,60,33,2018
783,0616323,37,12,2018
784,0616325,55,28,2018
785,0616500,58,19,2018
786,0616680,92,72,2018
787,0616740,46,23,2018
788,0616860,37,12,2018
789,0616920,49,17,2018
790,0617220,47,17,2018
791,0617430,52,37,2018
792,0618060,71,50,2018
793,0618210,67,32,2018
794,0618390,30,8,2018
795,0618930,61,37,2018
796,0618990,47,27,2018
797,0619110,69,30,2018
798,0619260,41,17,2018
799,0619320,37,12,2018
800,0619490,59,21,2018
801,0619540,49,21,2018
802,0619650,47,13,2018
803,0619700,70,29,2018
804,0619830,62,32,2018
805,0620070,42,12,2018
806,0620130,86,82,2018
807,0620220,49,30,2018
808,0620370,77,57,2018
809,0620640,42,22,2018
810,0620670,62,32,2018
811,0621000,64,48,2018
812,0621060,57,17,2018
813,0621270,42,27,2018
814,0621400,51,19,2018
815,0621600,57,31,2018
816,0621690,62,30,2018
817,0621810,47,17,2018
818,0621870,57,12,2018
819,0621990,74,34,2018
820,0622050,62,22,2018
821,0622110,61,46,2018
822,0622230,48,31,2018
823,0622410,46,23,2018
824,0622500,49,27,2018
825,0622590,75,57,2018
826,0622710,51,23,2018
827,0622740,47,15,2018
828,0622800,84,74,2018
829,0622860,54,34,2018
830,0623080,58,30,2018
831,0623160,37,10,2018
832,0623340,42,14,2018
833,0623530,47,27,2018
834,0623610,47,18,2018
835,0623940,62,32,2018
836,0624030,46,27,2018
837,0624090,43,16,2018
838,0624230,47,12,2018
839,0624480,54,34,2018
840,0624500,72,54,2018
841,0624660,45,19,2018
842,0624750,52,17,2018
843,0625150,47,22,2018
844,0625190,44,24,2018
845,0625230,37,12,2018
846,0625320,63,31,2018
847,0625470,45,14,2018
848,0625530,56,31,2018
849,0625690,56,38,2018
850,0625800,41,17,2018
851,0625830,61,39,2018
852,0625860,35,16,2018
853,0626100,42,22,2018
854,0626310,79,68,2018
855,0626370,53,35,2018
856,0626490,42,17,2018
857,0626640,53,28,2018
858,0626760,32,12,2018
859,0626880,62,36,2018
860,0626910,67,36,2018
861,0627030,37,7,2018
862,0627060,49,20,2018
863,0627200,52,17,2018
864,0627240,60,39,2018
865,0627590,43,13,2018
866,0627690,46,17,2018
867,0627720,68,41,2018
868,0627780,77,42,2018
869,0627850,87,73,2018
870,0628050,35,17,2018
871,0628250,52,30,2018
872,0628270,52,27,2018
873,0628650,60,31,2018
874,0628710,67,52,2018
875,0628950,72,22,2018
876,0629130,49,20,2018
877,0629270,43,24,2018
878,0629370,82,62,2018
879,0629490,51,19,2018
880,0629550,47,20,2018
881,0629610,88,86,2018
882,0629640,17,7,2018
883,0629700,73,62,2018
884,0629820,52,37,2018
885,0629850,44,20,2018
886,0629910,27,12,2018
887,0629940,49,24,2018
888,0630030,32,16,2018
889,0630210,49,17,2018
890,0630250,70,40,2018
891,0630330,87,72,2018
892,0630360,57,17,2018
893,0630600,36,15,2018
894,0630660,72,51,2018
895,0630750,74,45,2018
896,0631170,57,27,2018
897,0631320,44,15,2018
898,0631530,72,58,2018
899,0631710,52,29,2018
900,0632010,42,26,2018
901,0632070,73,45,2018
902,0632270,27,7,2018
903,0632370,46,23,2018
904,0632550,40,17,2018
905,0632610,57,27,2018
906,0632880,67,37,2018
907,0633110,47,17,2018
908,0633150,50,27,2018
909,0633630,72,48,2018
910,0633750,60,31,2018
911,0633840,48,27,2018
912,0633860,71,44,2018
913,0633980,47,19,2018
914,0634140,54,32,2018
915,0634170,44,17,2018
916,0634320,61,37,2018
917,0634380,80,65,2018
918,0634410,61,50,2018
919,0634425,67,51,2018
920,0634440,40,12,2018
921,0634590,52,35,2018
922,0634620,50,28,2018
923,0634680,44,18,2018
924,0634710,51,24,2018
925,0634740,82,37,2018
926,0634800,69,52,2018
927,0634860,82,87,2018
928,0634880,62,35,2018
929,0634980,71,52,2018
930,0635110,54,37,2018
931,0635130,87,70,2018
932,0635250,67,37,2018
933,0635310,35,18,2018
934,0635430,56,35,2018
935,0635600,58,34,2018
936,0635670,44,19,2018
937,0635700,78,50,2018
938,0635850,72,47,2018
939,0636270,57,19,2018
940,0636390,62,47,2018
941,0636450,30,30,2018
942,0636600,56,36,2018
943,0636670,54,34,2018
944,0636800,65,27,2018
945,0636805,52,32,2018
946,0636820,62,27,2018
947,0636840,64,35,2018
948,0636940,52,22,2018
949,0636970,56,28,2018
950,0636972,40,14,2018
951,0637050,35,9,2018
952,0637200,49,33,2018
953,0637260,67,32,2018
954,0637500,79,67,2018
955,0637530,54,31,2018
956,0637590,44,24,2018
957,0637620,42,12,2018
958,0637830,92,42,2018
959,0638010,33,15,2018
960,0638280,62,27,2018
961,0638610,57,27,2018
962,0638640,59,29,2018
963,0638730,37,12,2018
964,0638770,52,42,2018
965,0638790,72,56,2018
966,0638880,57,27,2018
967,0638980,70,59,2018
968,0639000,72,37,2018
969,0639420,72,52,2018
970,0639630,65,35,2018
971,0639930,54,27,2018
972,0640150,70,46,2018
973,0640230,69,49,2018
974,0640300,51,21,2018
975,0640590,59,34,2018
976,0640740,32,12,2018
977,0640980,52,29,2018
978,0641160,56,20,2018
979,0641190,62,34,2018
980,0641280,77,70,2018
981,0641430,53,26,2018
982,0641580,44,21,2018
983,0642000,57,32,2018
984,0642140,65,32,2018
985,0642350,52,22,2018
986,0642480,57,29,2018
987,0642510,78,48,2018
988,0642540,17,7,2018
989,0642560,37,17,2018
990,0642580,69,49,2018
991,0642930,52,22,2018
992,0643080,53,21,2018
993,0643410,67,42,2018
994,0643470,59,25,2018
995,0643560,58,28,2018
996,0684500,73,68,2018
997,0691003,44,24,2018
998,0691006,42,17,2018
999,0691012,20,4,2018
1000,0691023,42,17,2018
1001,0691024,16,5,2018
1002,0691036,52,32,2018
1003,0691045,37,22,2018
1004,0691078,33,19,2018
1005,0691134,22,7,2018
1006,0691135,46,21,2018
1007,0691136,57,22,2018
1008,0800004,69,49,2018
1009,0800016,24,34,2018
1010,0800017,24,24,2018
1011,0800020,52,42,2018
1012,0800282,32,17,2018
1013,0801920,61,55,2018
1014,0801950,13,11,2018
1015,0802040,34,34,2018
1016,0802070,37,37,2018
1017,0802190,42,32,2018
1018,0802280,72,62,2018
1019,0802310,22,17,2018
1020,0802340,20,20,2018
1021,0802370,42,32,2018
1022,0802400,37,47,2018
1023,0802430,32,27,2018
1024,0802490,67,61,2018
1025,0802520,44,24,2018
1026,0802550,30,30,2018
1027,0802580,26,29,2018
1028,0802610,27,32,2018
1029,0802640,42,32,2018
1030,0802670,27,17,2018
1031,0802700,37,22,2018
1032,0802730,24,24,2018
1033,0802790,37,22,2018
1034,0802910,56,54,2018
1035,0802940,73,70,2018
1036,0803000,54,54,2018
1037,0803030,22,17,2018
1038,0803060,36,29,2018
1039,0803090,27,22,2018
1040,0803180,49,30,2018
1041,0803210,30,30,2018
1042,0803300,24,34,2018
1043,0803330,40,31,2018
1044,0803360,34,33,2018
1045,0803390,34,24,2018
1046,0803450,58,55,2018
1047,0803480,47,42,2018
1048,0803540,38,35,2018
1049,0803600,42,47,2018
1050,0803720,42,37,2018
1051,0803750,22,17,2018
1052,0803780,27,22,2018
1053,0803810,52,37,2018
1054,0803840,44,24,2018
1055,0803870,29,20,2018
1056,0803960,22,22,2018
1057,0803990,59,55,2018
1058,0804020,17,17,2018
1059,0804050,22,17,2018
1060,0804080,36,30,2018
1061,0804110,44,44,2018
1062,0804200,27,22,2018
1063,0804230,30,49,2018
1064,0804260,36,40,2018
1065,0804320,47,47,2018
1066,0804350,35,28,2018
1067,0804380,22,22,2018
1068,0804410,26,22,2018
